,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
PM2.5,1.0,0.878874467033304,0.47822270333040184,0.6643172942998169,0.780164842941009,-0.14950787305314303,-0.13160664167309016,0.01986213722390858,0.11304495909810597,-0.014452037420056924,-0.271424667740368
PM10,0.878874467033304,1.0,0.460571727533799,0.6455980812159181,0.6918866734586823,-0.11044288202955127,-0.09607779721805382,-0.01837536907349804,0.06767409766628676,-0.026505342695449914,-0.17820013205056778
SO2,0.47822270333040184,0.460571727533799,1.0,0.4958274878993121,0.5226776926657559,-0.16531145655981835,-0.32023736536075564,0.22123456682506515,-0.2661212228532508,-0.04002765449428855,-0.10853634929878185
NO2,0.6643172942998169,0.6455980812159181,0.4958274878993121,1.0,0.6940297383059428,-0.46591250486532215,-0.2772310960443176,0.17660522910803073,-0.03251228369136211,-0.043661421488104084,-0.395716007271717
CO,0.780164842941009,0.6918866734586823,0.5226776926657559,0.6940297383059428,1.0,-0.30697853264045905,-0.3240567283391776,0.18804491624702804,-0.06031505987667589,-0.013281426802849494,-0.2904130888818754
O3,-0.14950787305314303,-0.11044288202955127,-0.16531145655981835,-0.46591250486532215,-0.30697853264045905,1.0,0.5922480750052562,-0.4467248676357119,0.31297987400596183,0.023360996211003866,0.2943510370687536
TEMP,-0.13160664167309016,-0.09607779721805382,-0.32023736536075564,-0.2772310960443176,-0.3240567283391776,0.5922480750052562,1.0,-0.813312493129163,0.8202473337318033,0.03764711962942668,0.03260143383109472
PRES,0.01986213722390858,-0.01837536907349804,0.22123456682506515,0.17660522910803073,0.18804491624702804,-0.4467248676357119,-0.813312493129163,1.0,-0.7502712874559743,-0.06095206521924929,0.06539998541377873
DEWP,0.11304495909810597,0.06767409766628676,-0.2661212228532508,-0.03251228369136211,-0.06031505987667589,0.31297987400596183,0.8202473337318033,-0.7502712874559743,1.0,0.08625932611032312,-0.2967708896316789
RAIN,-0.014452037420056924,-0.026505342695449914,-0.04002765449428855,-0.043661421488104084,-0.013281426802849494,0.023360996211003866,0.03764711962942668,-0.06095206521924929,0.08625932611032312,1.0,0.020974917825848833
WSPM,-0.271424667740368,-0.17820013205056778,-0.10853634929878185,-0.395716007271717,-0.2904130888818754,0.2943510370687536,0.03260143383109472,0.06539998541377873,-0.2967708896316789,0.020974917825848833,1.0
