Variable,count,mean,median,var,std,min,max
PM2.5,420768.0,79.83971844341775,55.0,6552.937627034789,80.95021696718786,2.0,999.0
PM10,420768.0,104.91026777226405,82.0,8543.567770712933,92.43142198794159,2.0,999.0
SO2,420768.0,15.91308995360864,7.0,479.4614897806366,21.8966090932052,0.2856,500.0
NO2,420768.0,50.59901760970415,43.0,1237.0640380655382,35.171921159719695,1.0265,290.0
CO,420768.0,1235.6826493459578,900.0,1349758.0788793748,1161.790892923238,100.0,10000.0
O3,420768.0,57.23787179300708,44.0,3264.4304785618974,57.13519474511221,0.2142,1071.0
TEMP,420768.0,13.531691619628713,14.5,130.824807304853,11.43786725333237,-19.9,41.6
PRES,420768.0,1010.753336847475,1010.4,109.71099787829051,10.474301784763055,982.4,1042.8
DEWP,420768.0,2.4824210728952774,3.0,190.37584292326815,13.79767527242427,-43.4,29.1
RAIN,420768.0,0.06442849741425204,0.0,0.6734472370539721,0.8206383107398607,0.0,72.5
WSPM,420768.0,1.7300338904099168,1.4,1.554195655578787,1.2466738368870933,0.0,13.2
