station,PM25_Mean,PM25_Median,PM25_Std,PM10_Mean,NO2_Mean,Record_Count
Dongsi,86.14424338352727,61.0,86.26024603279373,110.34761721423682,53.95307788329911,35064
Nongzhanguan,85.07947182295231,59.0,86.69251633336268,109.38402207392197,58.09505329255076,35064
Wanshouxigong,85.06754791238878,60.0,85.9996983548726,112.50579511749943,55.495402291524066,35064
Gucheng,84.07480179101073,60.0,82.99463410566806,119.26156741957564,55.822314790098105,35064
Wanliu,83.4676120807666,59.0,82.12505807091404,110.70785848733745,65.6684183307666,35064
Guanyuan,82.89752167465207,59.0,81.07027944470315,109.37234913301391,58.13929794518595,35064
Aotizhongxin,82.54062286105408,58.0,81.9564012998317,110.21003308236368,59.074105636835505,35064
Tiantan,82.03309662331736,58.0,80.89548917919471,106.53707648870636,53.25882833532968,35064
Shunyi,79.43796201232034,55.0,81.50028178307477,99.27193560346794,44.094695043349304,35064
Changping,70.98643765685604,46.0,72.39772611701403,94.78857517681953,44.20615332249601,35064
Huairou,69.50174680584075,47.0,70.99089991054363,92.42266997490303,32.07727521246863,35064
Dingling,66.84555669632672,41.0,73.4450933803507,84.11371349532284,27.3035892325462,35064
